Id,ELEMID,ENTINAME,price
9125,510100I0000064600,锦绣华都西区,6249.998
9329,510100I0000065142,中海·九号公馆,6250.975
2997,510100I0000006109,三家巷3号院,6255.4062
6037,510100I0000055569,书院街72号院,6255.645
4199,510100I0000037089,斑竹园镇忠义社区竹园大道居民住宅,6260.002
2641,510100I0000005069,状元街二巷13号院,6266.207
2668,510100I0000005107,外南街28号院,6268.939
5944,510100I0000055430,云凤苑,6271.827
3474,510100I0000007590,南浦佳苑,6275.836
2475,510100I0000004824,华丰庭园,6279.1885
2897,510100I0000005643,黄山名苑,6279.6973
3665,510100I0000007888,赞元茗居,6281.3267
5541,510100I0000054410,龙城高新天地,6281.836
2928,510100I0000005692,三家巷5-7号院,6281.8604
3680,510100I0000007906,金晨苑,6284.772
2922,510100I0000005674,三家巷22号院,6285.4136
9165,510100I0000064684,清泰路二段96号院,6286.001
2498,510100I0000004856,桂和院,6286.067
3012,510100I0000006139,工商局宿舍,6286.385
6661,510100I0000056784,仁和苑,6288.3574
2878,510100I0000005616,凯莱丽景,6289.767
2989,510100I0000006077,怡湖西路271号院2号院,6290.4746
6316,510100I0000056105,宝生街96号院,6291.111
2545,510100I0000004944,东花园颐院,6294.4473
2218,510100I0000004397,红星政府家属院小区,6294.681
6290,510100I0000056068,新奎星楼小区,6295.1797
6333,510100I0000056126,文庙巷61号院,6300.003
4309,510100I0000046409,星光家园,6302.4604
15274,510100I0000081487,大同上郡东区,6303.1094
8957,510100I0000064301,长冶路二段82号院,6303.873
3647,510100I0000007864,团结巷23号院,6305.358
6286,510100I0000056061,财政局家属院,6306.4824
2941,510100I0000005828,四季豪庭,6306.5547
2419,510100I0000004732,华逸花园·新都苑,6306.8794
3001,510100I0000006113,三家巷1号院,6310.158
2643,510100I0000005071,桂湖西路60号院,6311.001
7778,510100I0000059243,滨江路北段13号院,6312.0605
2637,510100I0000005063,民生巷9号院,6313.999
3737,510100I0000008045,河滨人家,6316.631
3587,510100I0000007774,东巷子47号院,6316.673
2399,510100I0000004694,电子路段64号院,6317.673
6156,510100I0000055736,新南街99号院,6321.1265
3555,510100I0000007715,涤纶厂家属院,6322.399
2675,510100I0000005117,桂湖东路二巷3号院,6323.0015
2805,510100I0000005479,政府中路91号院10栋,6324.449
3742,510100I0000008054,省地矿局一0六地质队生活区,6325.5703
3489,510100I0000007608,黄金小区,6325.8364
7771,510100I0000059235,中国航天烽火机械厂宿舍,6328.3467
6083,510100I0000055627,星南苑,6332.1313
6067,510100I0000055607,一环路东南段249附1号院,6333.3936
2740,510100I0000005367,/,6335.955
2618,510100I0000005034,宝光大道北段21号院,6337.273
8906,510100I0000064207,联益四合院,6339.455
2852,510100I0000005574,蜀青丽景湾,6342.6963
3023,510100I0000006162,金荷苑,6344.003
2808,510100I0000005482,嘉裕街23_51号院,6350.1167
2733,510100I0000005357,幸福家园·水云间小区,6351.612
2574,510100I0000004981,紫瑞街一巷21号院,6352.285
11318,510100I0000068869,枫瑞苑,6352.339
2542,510100I0000004940,/,6354.527
6293,510100I0000056074,人民医院家属院,6355.472
