id,log_price,price,lon,lat
2298,9.207322,9969.863,103.9148175,30.87153851
2299,9.153484,9447.301,103.9140436,30.87171673
2300,9.146408,9380.685,103.9132086,30.87223845
2301,9.161882,9526.975,103.914187,30.87197039
2302,9.129414,9222.612,103.91297,30.87237616
2303,9.129393,9222.42,103.9130233,30.8724585
2304,9.175415,9656.775,103.913132,30.87271277
2305,9.214946,10046.16,103.9134218,30.87288418
2306,9.177377,9675.738,103.9138657,30.87277158
2307,9.151986,9433.157,103.9141496,30.87249301
2308,9.148619,9401.445,103.9136184,30.87202517
2309,9.036215,8401.914,103.9190773,30.87247724
2310,9.074568,8730.411,103.9180473,30.86935167
2311,9.209332,9989.927,103.9190614,30.86839321
2312,9.066114,8656.921,103.9201514,30.87030909
2313,9.151411,9427.734,103.9178039,30.87215789
2314,9.007111,8160.9062,103.9181671,30.87125508
2315,9.066715,8662.124,103.9177316,30.87327306
2316,9.064499,8642.947,103.917162,30.87335477
2317,9.002772,8125.5796,103.9171119,30.87423449
2318,8.825257,6803.9414,103.9180491,30.87486976
2319,9.074608,8730.762,103.9187183,30.87617452
2320,8.892308,7275.7944,103.91605,30.87597514
2321,8.969342,7858.431,103.9161728,30.87608352
2322,9.003927,8134.969,103.9158259,30.87427015
2323,9.145893,9375.855,103.9155729,30.87337586
2324,9.124149,9174.189,103.9153778,30.87353371
2325,9.053694,8550.062,103.9163107,30.87319011
2326,9.158738,9497.066,103.9151208,30.87242419
2327,9.1303625,9231.367,103.9146921,30.87187542
2328,9.151722,9430.666,103.9148921,30.87176035
2329,9.130549,9233.094,103.9156723,30.8721696
2330,9.136838,9291.339,103.9161745,30.87252685
2331,9.169406,9598.922,103.9168439,30.87162767
2332,9.076521,8747.48,103.9164202,30.87116796
2333,9.330405,11275.7,103.9224512,30.86250416
2334,9.111389,9057.869,103.9219757,30.864238
2335,9.222223,10119.537,103.9187987,30.86739126
2336,9.259402,10502.854,103.9182913,30.86685741
2337,9.1663265,9569.407,103.9178703,30.86756428
2338,9.182854,9728.876,103.9171087,30.86805567
2339,9.202564,9922.54,103.9180852,30.86711374
2340,9.173292,9636.297,103.9182383,30.86800708
2341,8.103432,3305.7932,103.8198782,30.91970912
2342,8.613898,5507.6772,103.9078401,30.85629143
2343,10.045769,23058.016,103.814916,30.79989612
2344,10.456535,34770.875,103.8140496,30.79568921
2345,10.657344,42503.59,103.8147835,30.79596301
2346,10.335,30791.688,103.8160543,30.79438714
2347,9.175737,9659.888,103.828866,30.81517754
2348,9.316725,11122.494,103.8308629,30.81630991
2349,9.384529,11902.801,103.8310392,30.81577555
2350,8.7888775,6560.8633,103.8941547,30.82095057
2351,8.821793,6780.408,103.9124273,30.86786666
2352,9.285248,10777.844,103.9133752,30.8660771
2353,8.550674,5170.24,103.8838645,30.81689665
2354,9.356457,11573.309,103.913924,30.86575347
2355,8.367968,4306.8735,103.8787208,30.90601094
2356,8.090528,3263.4087,103.8207487,30.91948081
2357,8.360455,4274.637,103.9256014,30.89788247
